,id,average,country,genre,language,release_date,title,votes,产地
0,0.0,9.7, 美国,"['剧情', '犯罪']", 英语,1994-09-10,肖申克的救赎 The Shawshank Redemption,2083437.0,美国
1,1.0,9.2, 美国,"['喜剧', '动画', '冒险']", 英语 / 挪威语,2016-03-04,疯狂动物城 Zootopia,1321807.0,美国
2,2.0,9.5, 美国,"['剧情', '爱情']", 英语,1994-06-23,阿甘正传 Forrest Gump,1573820.0,美国
3,3.0,9.0, 中国大陆,"['剧情', '喜剧']", 汉语普通话 / 英语 / 上海话 / 印地语,2018-07-05,我不是药神,1529042.0,中国大陆
4,4.0,9.4, 日本,"['剧情', '动画', '奇幻']", 日语,2019-06-21,千与千寻 千と千尋の神隠し,1636148.0,日本
5,5.0,8.9, 美国,"['剧情', '喜剧', '传记']", 英语 / 意大利语 / 俄语 / 德语,2019-03-01,绿皮书 Green Book,1109388.0,美国
6,6.0,9.4, 美国,"['剧情', '爱情', '灾难']", 英语 / 意大利语 / 德语 / 俄语,1998-04-03,泰坦尼克号 Titanic,1527182.0,美国
7,7.0,8.5, 中国大陆,"['剧情', '喜剧', '动画', '奇幻']", 汉语普通话,2019-07-26,哪吒之魔童降世,1455810.0,中国大陆
8,8.0,9.1, 美国,"['喜剧', '动画', '音乐', '奇幻']", 英语 / 西班牙语,2017-11-24,寻梦环游记 Coco,1103020.0,美国
9,9.0,8.3, 中国大陆,"['剧情', '爱情', '犯罪']", 汉语普通话,2019-10-25,少年的你,1088622.0,中国大陆
10,10.0,9.0, 印度,"['剧情', '家庭', '传记', '运动']", 印地语,2017-05-05,摔跤吧！爸爸 Dangal,1144149.0,印度
11,11.0,9.4, 法国 / 美国,"['剧情', '动作', '犯罪']", 英语 / 意大利语 / 法语,1994-09-14,这个杀手不太冷 Léon,1764129.0,法国
12,12.0,9.6, 中国大陆 / 中国香港,"['剧情', '爱情', '同性']", 汉语普通话,1993-01-01,霸王别姬,1545027.0,中国大陆
13,13.0,9.1, 美国,"['剧情', '喜剧', '爱情']", 英语,2010-07-26,怦然心动 Flipped,1301037.0,美国
14,14.0,9.2, 印度,"['剧情', '喜剧', '爱情', '歌舞']", 印地语 / 乌尔都语 / 英语,2011-12-08,三傻大闹宝莱坞 3 Idiots,1394830.0,印度
15,15.0,8.4, 日本,"['剧情', '爱情', '动画']", 日语,2016-12-02,你的名字。 君の名は。,1004620.0,日本
16,16.0,9.3, 美国 / 英国,"['剧情', '科幻', '悬疑', '冒险']", 英语 / 日语 / 法语,2010-09-01,盗梦空间 Inception,1502607.0,美国
17,17.0,9.3, 美国,"['剧情', '科幻']", 英语,1998-06-05,楚门的世界 The Truman Show,1125857.0,美国
18,18.0,7.9, 中国大陆,"['科幻', '冒险', '灾难']", 汉语普通话 / 英语 / 俄语 / 法语 / 日语 / 韩语 / 印尼语,2019-02-05,流浪地球,1550959.0,中国大陆
19,19.0,9.3, 意大利,"['剧情', '音乐']", 英语 / 法语 / 意大利语,2019-11-15,海上钢琴师 La leggenda del pianista sull'oceano,1253150.0,意大利
20,20.0,8.8, 中国大陆 / 中国香港,"['剧情', '喜剧', '动作', '西部']", 汉语普通话 / 四川话 / 山西话,2010-12-16,让子弹飞,1174344.0,中国大陆
21,21.0,7.7, 中国大陆,['剧情'], 汉语普通话,2019-09-30,我和我的祖国,756660.0,中国大陆
22,22.0,9.2, 中国香港 / 中国大陆,"['喜剧', '爱情', '奇幻', '古装']", 粤语 / 汉语普通话,1995-02-04,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,1103600.0,中国香港
23,23.0,8.5, 韩国,"['动作', '惊悚', '灾难']", 韩语,2016-05-13,釜山行 부산행,826213.0,韩国
24,24.0,9.1, 美国,"['剧情', '家庭', '传记']", 英语 / 粤语,2008-01-17,当幸福来敲门 The Pursuit of Happyness,1115251.0,美国
25,25.0,9.3, 美国 / 英国 / 加拿大 / 冰岛,"['剧情', '科幻', '冒险']", 英语,2014-11-12,星际穿越 Interstellar,1125867.0,美国
26,26.0,9.2, 日本,"['动画', '奇幻', '冒险']", 日语,2018-12-14,龙猫 となりのトトロ,932245.0,日本
27,27.0,8.7, 韩国,"['剧情', '喜剧']", 韩语 / 英语,2019-05-21,寄生虫 기생충,989787.0,韩国
28,28.0,9.1, 黎巴嫩 / 法国 / 美国,['剧情'], 阿拉伯语 / 阿姆哈拉语,2019-04-29,何以为家 كفرناحوم,680954.0,黎巴嫩
29,29.0,9.4, 美国 / 英国,['剧情'], 英语 / 日语,2009-06-13,忠犬八公的故事 Hachi: A Dog's Tale,1045718.0,美国
30,30.0,9.0, 美国,"['剧情', '喜剧', '动画', '冒险']", 英语,2009-08-04,飞屋环游记 Up,977714.0,美国
