0,1,2,3,4,5,6,7
1,,a(an),[ə] 、 [ən],art. 一（个，件）,"An hour ago, a European bought an
MP3.",1 小时前，一位欧洲人买了一个 MP3。,
2,,abandon,[əˈbændən],vt.放弃，抛弃;,"He abandoned his wife and children
and went away with all their money.",他抛妻弃子，并带走了所有的钱。,
3,,ability,[əˈbɪləti],n.能力；才能；才智,"He completed the job to the best of his
ability.",他尽全力完成了工作。,
4,,able,[ˈeɪbl],a.能够的；有能力的,The child is not yet able to write.,这个孩子还不会写字。,
5,,about,[əˈbaʊt],"ad.大约；到处 prep.关
于；在……的各处","We were just about to leave when Jerry
arrived.",我们正要离开，杰里来了。,
6,,above,[əˈbʌv],"prep.在……上面 a.上面
的 ad.在上面",The plane is flying above the clouds.,飞机在云层上空飞行。,
7,,abroad,[əˈbrɔ:d],ad.到/在国外,"Whether he has been abroad or not
doesn't make much difference.",他是否出过国关系不大。,
8,,absence,[ˈæbsəns],"n.缺席，不在；缺乏，
不存在","In the absence of any evidence,the
police had to let Myers go.",警察没有证据，只好把迈尔斯放了。,
9,,absent,[ˈæbsənt],"a.（from）缺席的，不
在的；缺乏的","Love was totally absent from his
childhood.",他童年时完全没有得到关爱。,
10,,absorb,[əbˈsɔ:b],vt.吸收；吸引，使专心,He was absorbed in watching TV.,他在全神贯注地看电视。,
11,,abstract,[ˈæbstrækt],a.抽象的 n.摘要，概要,"A flower is beautiful,but beauty itself is
abstract.",花是美的，可美是抽象的。,
12,,academic,[ˌækəˈdemɪk],"a.学业的；学术的 n.大
学教师","The new academic year begins in
September.",新学年从九月份开始。,
13,accept,[əkˈsept],vt.接受，认可,"I refuse to accept the blame for
something that was someone else's fault","我拒绝接受由于别人的过错而导致的对
我的责备。",,
14,access,[ˈækses],"n.通道，入口；（使用
或见到的）机会，权利
vt.存取（计算机文件）","The system has been designed to give
students quick and easy access to the
digital resources of the library.","设计这个系统就是为了让学生快速而轻
松地使用图书馆的数字资源",,
15,accessible,[əkˈsesəbl],"a.(to)可使用的，可见到
的，易接近的","These documents are not accessible to
the public.",公众无法看到这些文件。,,
16,accident,[ˈæksɪdənt],n.事故；意外事件,The accident happened at 3 p.m.,事故发生于下午 3 点。,,
17,account,[əˈkaʊnt],"n.叙述；账户 vi.(for)说
明（原因等）；占（一
定数量或比例）","He was absent from school on account
of illness.",他因病不能去上学。,,
18,accuse,[əˈkju:z],vt.控告；谴责，指责,They accuse him of stealing the car.,他们控告他偷了那辆车。,,
19,ache,[eɪk],vi.疼 n.疼痛,I have an ache in my stomach.,我胃疼。,,
20,achieve,[əˈtʃi:v],vt.达到，完成,He had finally achieved success.,他终于获得了成功。,,
21,acknowledge,[əkˈnɒlɪdʒ],"vt.承认；告知（信件、
礼物等）已收到；对
（礼物等)表示感谢","Yao Ming was widely acknowledged as
one of the best players in the world.",姚明是公认的世界最佳运动员之一。,,
22,across,[əˈkrɒs],"prep./ad.横过，穿过；
在另一边，在对面","The Great Wall winds its way from west to
east,across the deserts,over the
mountains,through the valleys,till at last it
reaches the sea.","长城从西到东蜿蜒而行，穿过沙漠，越
过高山，跨过山谷，最后到达大海。",,
23,act,[ækt],"v.行动，做事；举动；
扮演（角色）；起作用
n.行为；法令",Think carefully before you act.,[谚]三思而后行。,,
24,actual,[ˈæktʃuəl],a.实际的，真实的,"The actual cost was much higher than
we had expected.",实际成本比我们预计的要高得多。,,
25,adapt,[əˈdæpt],v.（使）适应；改编,"She adapted herself quickly to the new
climate.",她很快就适应了这种新气候。,,
26,add,[æd],"v.加；增加；进一步说/
写","The wonderful songs added to our
pleasure.",悦耳的歌曲给我们增添了欢乐。,,
27,address,[əˈdres],n.地址；演讲,"Write down your name and
address,please.",请写下你的姓名和地址。,,
28,adjust,[əˈdʒʌst],v.调节，调整；适应,"It took a few seconds for her eyes to
adjust to the darkness.",过了几秒钟她的眼睛才适应了黑暗。,,
29,admire,[ədˈmaɪə(r)],vt.钦佩；羡慕；欣赏,I admire John for his courage.,我钦佩约翰的勇气。,,
30,admit,[ədˈmɪt],"vt.承认；准许进入/加
入","Will you admit having broken the
window？",你承认你打破了窗户吗？,,
31,adopt,[əˈdɒpt],"vt.收养，领养；采用，
采纳",Sally was adopted when she was four.,萨莉 4 岁时被人收养。,,
32,adult,[ˈædʌlt],n./a.成（年）人（的）,Don't cut in while adults are talking.,大人讲话时不要插嘴。,,
33,advance,[ədˈvɑ:ns],v./n.推进；前进；进步,"It's cheaper if you book the tickets in
advance.",提前订票要便宜一些。,,
34,advantage,[ədˈvɑ:ntɪdʒ],n.优点；好处,"Living in a big city has many
advantages.",住在大城市里有很多有利条件。,,
35,adventure,[ədˈventʃə(r)],n.冒险；奇遇,"He told me about all his adventures at
sea.",他给我讲了他所有的海上奇遇。,,
36,advertise,[ˈædvətaɪz],v.（为……）做广告,Mr.Lin advertised his goods.,林先生为他的商品做广告。,,
37,advice,[ədˈvaɪs],"n.（on,about)忠告，劝
告；建议","Could you give me some advice about
buying a house？","你能不能给我提一点关于买房子的建
议？",,
38,advise,[ədˈvaɪz],vt.忠告，劝告；建议,I advised that he (should) start at once.,我建议他立刻动身。,,
39,advocate,[ˈædvəkeɪt],"vt.鼓吹，拥护，提倡 n.
鼓吹者，拥护者，提倡
者","This party advocates a reduction in
taxes.",这个政党主张削减税收。,,
40,affair,[əˈfeə(r)],n.事件，事情；事务,Mind your own affairs!,别管闲事！,,
41,affect,[əˈfekt],vt.影响；打动,"The climate affects the amount of the
rainfall.",气候影响降雨量。,,
42,afford,[əˈfɔ:d],"vt.负担得起（费用）；
抽得出（时间）；提供","we can't afford to go on vacation this
year.",今年我们没钱去度假。,,
43,afraid,[əˈfreɪd],a.害怕的；担心的,"Mr. Black was afraid to climb the tree，
for he was afraid of falling down from it.","布莱克先生不敢爬树，因为他怕从树上
掉下来。",,
44,after,[ˈɑ:ftə(r)],"prep./conj.在……之后；
在……后面 ad.之后，后
面","After a few days he came back , but he
said he would leave again in a few days.","几天后他回来了。可他说他将在几天后
再度离开。",,
45,afternoon,[ˌɑ:ftəˈnu:n],n.下午，午后,Please call me in the afternoon.,请在下午给我打电话。,,
46,afterward,['ɑ:ftəwəd],ad.后来，以后,You will regret it afterwards.,你以后会后悔的。,,
47,again,[əˈgen],ad.又，再，再一次,"Say it again , please.",请再说一遍。,,
48,against,[əˈgenst],prep.与……相反；反对,"Although against my opinion, the old
professor didn't come up with his own.","老教授尽管反对我的意见，却没有提出
自己的意见。",,
49,ago,[əˈgəʊ],ad.以前,"Two days ago, I went to see him, but his
neighbour said that he had left four
days before.","两天前我去拜访他，可他的邻居说他在
四天前就走了。",,
50,agree,[əˈgri:],"v.同意，赞成；约定；
答应","When Tom asked me if my wife agreed
to spend the holiday in the north, I said
that she agreed to my idea. So we
agreed on a date for it，and my wife
agreed with what we did.","汤姆问我我太太是否也同意去北方度假
时，我说她同意我的想法。因此我们就
定了个日子，我太太对我们的做法表示
同意。",,
51,agriculture,"[ˈægrɪkʌltʃə
(r)]",n.农业,"The meeting concerns trade and
agriculture.",会议内容涉及贸易和农业。,,
52,ahead,[əˈhed],ad.在前面；向前；提前,Tom is running ahead of me.,汤姆跑在我前面。,,
53,aid,[eɪd],vt./n.帮助，援助，救援,"A large number of volunteers went to
the disaster area to aid the sufferers.",很多志愿者奔赴灾区救助受灾群众。,,
54,aim,[eɪm],"n.目标；目的
v.(at,for,to)瞄准，对
准；旨在；企图，力求","These measures are aimed at reducing
road accidents.",这些措施旨在减少道路交通事故。,,
55,air,[eə(r)],n.空气，大气；气氛,Listen，my favourite song is on the air.,听，广播里放的是我最喜欢的歌。,,
56,aircraft,[ˈeəkrɑ:ft],n.[单同复]飞机,The aircraft was made in France.,这架飞机是法国制造的。,,
57,airport,[ˈeəpɔ:t],n.机场，航空站,"The plane circled the airport before
landing.",飞机着陆前在机场上空盘旋。,,
58,alarm,[əˈlɑ:m],"n.警报（器）；惊恐 vt.
使惊恐",She decided to sound the alarm.,她决定发出警报。,,
59,alive,[əˈlaɪv],"a.活着的；继续存在
的；有活力的，有生气
的","But anyone who is alive in the world of
the living has some hope ，a live dog is
better than a dead lion.","的确，任何人只要与活着的人在一起就
还会有一丝生的希望。所以，比起死了
的狮子，活着的狗要更好一些。",,
60,all,[ɔ:l],"a.所有的 ad.完全 pron.
全部，全体","You shouldn't have scolded the boy at
all，he is a child after all； above all, he
made only two mistakes in all.","你本不该责备那个男孩，他毕竟还是个
孩子；毕竟，他总共才出了两处错。",,
61,allow,[əˈlaʊ],vt.准许，允许,"The nurse allowed him to remain
there,though it was not permitted.","护士允许他留在那里，虽然这是（规
定）所禁止。",,
62,almost,[ˈɔ:lməʊst],ad.几乎，差不多,Supper's almost ready.,晚饭就要做好了。,,
63,alone,[əˈləʊn],a./ad.单独，独自,It's hard bringing up children alone.,独自抚养孩子是艰难的。,,
64,along,[əˈlɒŋ],"ad.向前；一道，和……
一起 prep.沿着，顺着","""Move along, please! ""said a police
officer.",“请往前走！”一位警官说道。,,
65,aloud,[əˈlaʊd],ad.大声地,"My English teacher suggested that I
should read aloud every day.",我的英语老师建议我每天朗读。,,
66,already,[ɔ:lˈredi],ad.已经,"This time tomorrow I'll already be in
Tokyo.",明天这个时候我已经在东京了。,,
67,also,[ˈɔ:lsəʊ],ad.也,"The system was not only complicated
but also ineffective.",这套系统不仅复杂而且效率低下。,,
68,although,[ɔ:lˈðəu],conj.尽管；然而,"Although the sun was shining, it wasn't
very warm.",尽管太阳高照，却不很暖和。,,
69,altogether,[ˌɔ:ltəˈgeðə(r)],"ad.完全；总共；总而言
之",I don't altogether agree with you.,我不完全同意你的意见。,,
70,always,[ˈɔ:lweɪz],"ad.总是，一直；（将）
永远",He is always asking silly questions.,他总问一些愚蠢的问题。,,
71,amaze,[əˈmeɪz],vt.使惊奇，使惊愕,"It still amazes me how much she has
improved.",她进步很大，至今仍让我惊讶。,,
72,ambition,[æmˈbɪʃn],n.雄心；野心；夙愿,Ambition never has its fill.,欲望永无止境。,,
73,among,[əˈmʌŋ],"prep.(通常指三者或三者
以上）在……之中","A British woman was among the
survivors.",幸存者中有一位英国妇女。,,
74,amount,[əˈmaʊnt],"n.数量，数额 vi.(to)合
计，总计达；等于，接
近",His debts amount to over $1000.,他欠债总额已超过 1000 美元。,,
75,amuse,[əˈmju:z],"vt.逗笑，逗乐；（使）
娱乐",He amused himself by playing the violin.,他以拉小提琴来自娱自乐。,,
76,analyse,[ˈænəlaɪz],vt.分析，分解,She still needs to analyze the data.,她仍需要分析这些数据。,,
77,and,[ənd],conj.和，又，而且,She's a professor and scientist.,她是教授，又是科学家。,,
78,anger,[ˈæŋgə(r)],n.生气，愤怒,They were filled with anger at the news.,听了这个消息，他们满腔怒火。,,
79,angry,[ˈæŋgri],a.愤怒的，生气的,"The world needs anger. The world often
continues to allow evil because it isn't
angry enough.","世界需要愤怒。世界往往因为不够愤怒
而继续允许罪恶存在。（伯达·杰瑞）",,
80,animal,[ˈænɪml],n.动物,The dolphin is a smart animal.,海豚是聪明的动物。,,
81,announce,[əˈnaʊns],vt.宣告，宣布,"They haven't formally announced their
engagement yet.",他们还没有正式宣布订婚。,,
82,annoy,[əˈnɔɪ],vt.使恼怒，使生气,"His constant joking was beginning to
annoy her.",他不停地开玩笑，已开始惹她生气。,,
83,another,[əˈnʌðə(r)],"pron.另外一个；再一，
又一",Won't you have another cup of tea?,你不再喝一杯茶吗？,,
84,answer,[ˈɑ:nsə(r)],"v./n.回答，答复；（给
出）答案","""Can you answer this question?"" ""No, I
can't. I don't think there is any quick
answer to it.""","“你能回答这个问题吗？”“不，我不
能。我认为不能很快就给出这个问题的
答案。”",,
85,anxious,[ˈæŋkʃəs],a.忧虑的；渴望的,"She was anxious about the coming
exam.",她非常担心即将到来的考试。,,
86,any,[ˈeni],"det.任一；任何的 pron.
无论哪一个，无论哪
些；任何数量，任何数
额",Correct the errors in his report， if any.,如果他的报告中有错误，请改正。,,
87,anyhow,[ˈenihaʊ],ad.不管怎样；无论如何,The door won't open anyhow.,这门无论如何也打不开。,,
88,anyone,[ˈeniwʌn],pron.任何人，无论谁,Anyone could win tonight.,今晚任何人都可能赢。,,
89,anything,[ˈeniθɪŋ],"pron.任何事（物），无
论什么","She did nothing but sing, but she is
anything but a singer.","她一个劲地唱歌，但她根本不是歌唱
家。",,
90,anyway,[ˈeniweɪ],ad.尽管如此，无论如何,"I'm afraid we can't come, but thanks for
the invitation anyway.",恐怕我们来不了，不过还是感谢邀请。,,
91,anywhere,[ˈeniweə(r)],ad.任何地方，无论哪儿,Did you go anywhere last Sunday?,上星期天你去哪儿了？,,
92,apart,[əˈpɑ:t],ad.撇开；分开；相距,"Apart from good service, the restaurant
offers different kinds of traditional Fujian
dishes.","除了优质的服务，这家饭店还提供各种
各样的福建传统菜肴。",,
93,apartment,[əˈpɑ:tmənt],"n.(BrE)房间，套间；
（AmE)公寓",She lives in a small apartment.,她住在一套小公寓里,,
94,apologize,[əˈpɒlədʒaɪz],vi.道歉，认错,He later apologized for his behaviour.,他后来为他的行为道了歉。,,
